hero,winner,kills,deaths,assists
6,True,2,1,8
67,True,3,1,9
84,False,5,6,3
37,False,1,4,7
58,False,0,4,3
42,False,5,8,1
71,False,2,5,2
43,True,11,1,9
11,True,4,2,15
98,True,7,2,17
106,True,3,4,10
6,True,2,5,10
10,False,4,7,6
50,False,4,7,5
104,False,3,8,4
107,False,2,5,6
85,False,2,7,5
52,True,8,2,11
106,True,7,1,10
46,True,1,5,4
6,True,12,4,10
18,True,3,3,9
32,False,1,4,7
34,False,5,2,5
87,False,1,8,2
3,False,2,3,3
93,False,1,6,0
86,True,4,3,8
48,True,1,4,6
102,True,4,2,3
11,True,8,1,8
41,True,5,0,12
90,True,2,0,1
10,True,2,3,14
45,True,3,1,13
15,True,7,1,12
13,True,11,1,6
5,False,1,5,2
67,False,1,5,1
48,False,1,4,3
75,False,0,5,3
57,False,3,6,1
93,False,2,5,1
10,False,3,7,2
70,False,0,5,7
85,False,2,6,3
47,False,3,6,2
54,True,15,2,9
40,True,1,3,16
14,True,1,3,6
6,True,8,2,13
76,True,3,1,10
107,False,1,8,1
36,False,5,9,1
90,False,3,5,4
60,False,0,9,4
85,False,0,10,3
99,True,13,1,10
46,True,2,4,21
43,True,14,2,8
4,True,7,0,18
81,True,3,2,10
87,False,1,5,3
105,False,1,6,4
51,False,1,5,4
23,False,9,6,4
45,False,1,10,4
41,True,14,1,12
79,True,4,3,9
7,True,6,4,15
54,True,8,1,2
48,True,0,4,13
45,True,2,0,5
62,True,10,1,4
34,True,2,1,3
10,True,1,1,6
89,True,4,0,7
35,False,0,0,0
11,False,0,5,2
46,False,3,4,0
49,False,0,3,1
9,False,0,7,1
23,False,2,6,2
69,False,0,6,1
105,False,0,2,2
83,False,0,5,5
89,False,2,5,0
57,True,5,0,9
43,True,9,2,6
17,True,0,1,10
39,True,6,1,12
52,True,3,2,4
65,True,5,1,10
91,True,5,1,7
59,True,5,1,8
20,True,5,0,12
97,True,15,1,16
48,False,0,8,1
14,False,1,8,1
76,False,0,7,1
5,False,2,7,1
19,False,0,7,2
23,True,9,0,10
20,True,4,1,6
91,True,7,1,5
26,True,7,1,14
107,True,1,2,4
17,False,0,6,1
95,False,0,6,4
28,False,2,6,1
33,False,2,5,0
101,False,0,5,2
62,True,2,3,5
20,True,4,0,7
87,True,5,2,5
23,True,13,0,3
22,True,0,2,7
106,False,1,4,1
46,False,1,6,1
48,False,0,5,1
2,False,4,4,2
14,False,1,5,1
32,True,3,3,9
21,True,2,4,11
77,True,3,0,9
42,True,7,0,6
82,True,16,0,9
103,False,1,6,2
88,False,1,5,2
106,False,2,9,2
52,False,3,6,0
17,False,0,6,3
85,True,6,3,11
71,True,2,2,1
96,True,9,3,8
23,True,12,1,8
92,True,6,3,10
19,False,4,6,3
76,False,0,9,3
99,False,4,4,4
67,False,3,6,2
95,False,0,11,3
62,False,6,5,4
74,False,4,8,2
34,False,1,6,7
107,False,1,5,6
29,False,2,4,6
106,True,4,2,4
66,True,5,4,10
5,True,3,5,9
81,True,10,1,8
86,True,4,4,4
59,False,2,7,3
70,False,0,5,2
93,False,3,4,2
97,False,3,5,3
105,False,0,4,3
33,True,9,4,7
18,True,2,3,12
57,True,6,1,9
86,True,7,0,8
39,True,1,0,8
23,True,5,3,4
71,True,5,0,2
82,True,4,0,12
83,True,5,2,13
21,True,3,2,11
35,False,0,3,3
52,False,0,6,0
1,False,3,4,1
56,False,3,6,4
67,False,1,7,1
71,False,2,4,1
77,False,2,6,3
73,False,0,5,2
104,False,1,4,1
90,False,0,2,4
68,True,8,0,9
9,True,1,2,4
35,True,1,1,9
52,True,8,1,4
88,True,2,3,13
34,False,4,11,5
77,False,0,6,8
27,False,8,5,3
37,False,1,9,3
105,False,1,8,5
40,True,1,0,16
64,True,3,3,12
6,True,14,3,14
81,True,14,5,10
101,True,7,3,6
87,False,0,8,0
42,False,2,5,0
83,False,0,3,1
61,False,1,4,2
50,False,0,6,2
103,True,1,0,12
95,True,1,1,5
99,True,16,1,6
67,True,4,0,12
35,True,3,1,14
50,False,1,4,2
85,False,4,7,0
10,False,1,6,2
93,False,0,5,2
60,False,0,5,2
81,True,6,1,8
35,True,2,1,19
5,True,4,1,14
11,True,6,3,10
6,True,8,0,5
93,False,3,4,11
96,False,13,9,2
90,False,3,5,9
60,False,1,4,10
12,False,2,3,12
81,True,1,5,9
43,True,8,5,12
33,True,4,5,13
56,True,5,5,4
28,True,7,4,4
13,False,1,6,5
108,False,7,7,2
83,False,2,0,9
77,False,2,10,3
3,False,1,6,6
7,True,7,3,13
11,True,3,2,7
6,True,7,1,18
40,True,4,4,15
67,True,5,5,10
93,True,2,0,9
59,True,6,0,17
61,True,7,0,17
78,True,15,0,14
72,True,6,0,17
95,False,0,7,0
33,False,0,7,0
75,False,0,5,0
86,False,0,6,0
9,False,0,12,0
20,False,1,5,2
93,False,0,4,3
90,False,2,4,1
38,False,1,5,2
85,False,1,5,1
9,True,0,3,4
40,True,4,0,14
95,True,1,1,11
99,True,17,1,5
49,True,1,0,13
94,False,5,8,12
108,False,12,12,8
105,False,3,5,15
27,False,3,3,19
62,False,12,11,10
7,True,1,9,7
41,True,14,12,6
53,True,12,2,10
11,True,9,7,7
17,True,1,5,15
13,False,0,5,0
50,False,0,4,0
71,False,0,4,0
63,False,0,6,0
42,False,3,3,0
43,True,14,0,5
11,True,4,0,13
95,True,0,2,6
19,True,3,0,2
86,True,1,1,4
97,True,15,1,9
42,True,5,1,9
87,True,3,3,8
45,True,3,2,5
10,True,4,0,11
66,False,2,5,4
14,False,2,8,0
53,False,0,2,0
40,False,1,7,4
9,False,0,9,2
50,False,0,6,7
83,False,4,4,6
34,False,3,6,5
12,False,3,3,5
108,False,5,8,4
79,True,3,6,14
4,True,2,3,14
48,True,2,2,9
49,True,3,1,10
19,True,15,4,3
29,True,12,7,29
71,True,2,3,6
26,True,8,7,9
80,True,13,3,24
77,True,16,10,10
2,False,4,11,10
56,False,5,10,12
106,False,6,11,6
79,False,11,9,16
86,False,4,11,10
96,False,2,8,0
92,False,3,7,0
89,False,0,7,5
58,False,0,13,2
71,False,1,5,0
99,True,16,0,11
4,True,8,0,12
33,True,8,3,9
53,True,6,1,5
66,True,1,2,4
96,False,1,8,2
29,False,0,9,2
91,False,1,5,1
26,False,0,4,3
89,False,4,8,0
41,True,9,1,15
88,True,5,0,6
19,True,12,2,7
14,True,2,2,9
81,True,4,1,14
80,True,3,4,11
91,True,8,3,8
82,True,4,1,11
13,True,1,3,2
83,True,7,1,8
46,False,4,4,2
4,False,1,2,6
52,False,1,6,3
48,False,2,8,4
41,False,3,6,3
63,False,3,5,7
104,False,0,4,10
71,False,2,5,1
69,False,2,4,7
34,False,4,9,5
33,True,8,3,10
101,True,6,2,8
81,True,7,2,10
100,True,4,1,13
53,True,1,5,1
84,False,0,9,1
34,False,0,10,1
45,False,1,7,0
23,False,1,7,1
91,False,2,5,0
24,True,2,0,21
55,True,1,4,11
86,True,8,0,3
88,True,4,1,10
33,True,21,0,6
59,False,0,7,9
62,False,3,8,2
58,False,3,6,2
61,False,4,3,2
36,False,2,5,5
33,True,10,1,10
19,True,10,1,8
46,True,3,5,5
95,True,1,5,8
79,True,5,1,13
36,True,4,1,12
89,True,13,0,6
71,True,1,0,1
45,True,8,2,10
13,True,4,0,15
99,False,2,4,1
106,False,0,11,2
53,False,0,1,0
64,False,0,7,2
52,False,1,7,0
104,True,2,1,13
96,True,11,1,14
90,True,3,2,12
80,True,11,1,16
20,True,5,1,12
39,False,1,5,5
18,False,2,8,0
53,False,1,5,3
19,False,1,6,1
14,False,0,8,3
20,False,0,8,2
62,False,0,6,3
90,False,1,6,2
108,False,1,9,2
63,False,1,6,0
81,True,10,0,5
5,True,4,1,13
